rank,brand,name,original_price,sale_price,discount_pct,url,raw_name
27,Dr.G,Dr.G Red Blemish Clear Soothing Cream & Bakuchiol Pore-Jet Cream Duo Set,90.0,44.0,51.11,https://global.oliveyoung.com/product/detail?prdtNo=GS250732274,Dr.G Red Blemish Clear Soothing Cream & Bakuchiol Pore-Jet Cream Duo Set
28,Dr.,Dr. Althea 345 Relief Cream 50ml,34.0,34.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA241227041,Dr. Althea 345 Relief Cream 50ml
29,+Keyring Pouch,[POKEMON EDITION] SUNGBOON EDITOR Green Tomato NMN Pore Lifting Ampoule 40ml Double Pack (+Keyring Pouch),42.0,42.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250732242,[POKEMON EDITION] SUNGBOON EDITOR Green Tomato NMN Pore Lifting Ampoule 40ml Double Pack (+Keyring Pouch)
30,Sweet Breeze/Rosy Aura,UNOVE Deep Damage Repair Shampoo 500g Due Set (Sweet Breeze/Rosy Aura),40.0,40.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250530907,UNOVE Deep Damage Repair Shampoo 500g Due Set (Sweet Breeze/Rosy Aura)
31,DOUBLE,[DOUBLE] ROUND LAB 1025 Dokdo Cleanser 200ml Double Set,34.0,34.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA220414579,[DOUBLE] ROUND LAB 1025 Dokdo Cleanser 200ml Double Set
32,SONATURAL,SONATURAL ALL DAY TIGHT MAKE UP SETTING FIXER 75ml (No-gas Type),32.0,24.0,25.0,https://global.oliveyoung.com/product/detail?prdtNo=GA250228724,SONATURAL ALL DAY TIGHT MAKE UP SETTING FIXER 75ml (No-gas Type)
33,Tanning Pompompurin,[Tanning Pompompurin] Hair Loss Care Shampoo Scalp Strenghtening 750ml (+125ml),42.0,42.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250631501,[Tanning Pompompurin] Hair Loss Care Shampoo Scalp Strenghtening 750ml (+125ml)
34,Dr.G,Dr.G Red Blemish Clear Soothing Cream & Moisture Cream Duo Set,88.0,44.0,50.0,https://global.oliveyoung.com/product/detail?prdtNo=GS250732272,Dr.G Red Blemish Clear Soothing Cream & Moisture Cream Duo Set
35,BIODANCE,BIODANCE Bio Collagen Real Deep Mask Sheet 16P,83.0,83.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA230518544,BIODANCE Bio Collagen Real Deep Mask Sheet 16P
36,,ma:nyo Pure Cleansing Oil 200ml Double Pack,43.0,43.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA240724566,ma:nyo Pure Cleansing Oil 200ml Double Pack
